Restaurant Restaurant ID,Restaurant Restaurant Name,Address,Post Code,Full Address,Latitude,Longitude,Weekly orders
89931,Five Guys - Castellana Azca,"Paseo de la Castellana, 75",28020,"Paseo de la Castellana, 75 28020 ",40.4476083,-3.6933262,611
183722,Five Guys - Serrano,"Calle Serrano, 45",28001,"Calle Serrano, 45 28001 ",40.4289468,-3.6875354,462
73119,"Carl's Junior - Gran Vía, 45","Gran Vía, 45",28013,"Gran Vía, 45 28013 ",40.4209296,-3.707325,374
69463,Sushi MIX - Galileo,Calle Galileo 36,28015,Calle Galileo 36 28015 ,40.4332924,-3.7101998,321
49914,Five Guys - Gran Vía,Calle Gran Vía 44,28013,Calle Gran Vía 44 28013 ,40.4205576,-3.7054769,335
94951,Five Guys - Plaza Mayor,"Calle de Toledo, 19",28005,"Calle de Toledo, 19 28005 ",40.4141993,-3.7073497,292
80681,Carl's Junior - Plenilunio -,"Calle Aracne, 3",28022,"Calle Aracne, 3 28022 ",40.4469408,-3.5875084,191
84057,Taco Bell - La Gavia,"Calle Adolfo Bioy Casares, 2",28051,"Calle Adolfo Bioy Casares, 2 28051 ",40.3689253,-3.5991676,210
208031,Sushi Mix - Corazón de María,"Calle corazon de maria, 33,",28002,"Calle corazon de maria, 33, 28002 ",40.44447,-3.66744,211
63302,Five Guys - Plaza Río 2,Calle de Antonio López 109,28026,Calle de Antonio López 109 28026 ,40.3908576,-3.7014177,226
41589,Taco Bell - Tres Aguas,"Av. de América, 7-9",28922,"Av. de América, 7-9 28922 ",40.3584463,-3.8313617,208
6836,José Luis - Serrano,"Calle de Serrano, 89",28006,"Calle de Serrano, 89 28006 ",40.4369796,-3.6866103,248
62468,Taco Bell - Parquesur,"Av. de Gran Bretaña, s/n",28916,"Av. de Gran Bretaña, s/n 28916 ",40.3407111,-3.7428726,191
245371,MX Roberto Ruiz,"Maria de Guzmán, 34",28003,"Maria de Guzmán, 34 28003 ",40.4439933,-3.69826,222
57206,Five Guys - Parquesur,Av. de Gran Bretaña,28916,Av. de Gran Bretaña 28916 ,40.3407111,-3.7428726,152
130204,Cristina Oria - Core,Calle de José Ortega y Gasset 29,28006,Calle de José Ortega y Gasset 29 28006 ,40.4306155,-3.6830042,210
95655,Five Guys - La Gavia,"Calle Adolfo Bioy Casares, 2",28051,"Calle Adolfo Bioy Casares, 2 28051 ",40.3689253,-3.5991676,178
70123,Lateral - Madrid,Plaza de la República Argentina 7,28002,Plaza de la República Argentina 7 28002 ,40.44555,-3.68499,163
137481,Crudo Pokes & Salads,"C/ Fernández de la Hoz, 48",28010,"C/ Fernández de la Hoz, 48 28010 ",40.4360118,-3.6945366,156
72285,Goiko Grill - Embajadores,Calle Embajadores 100,28012,Calle Embajadores 100 28012 ,40.4022656,-3.7006972,134
16825,Mama Campo,"Calle Raimundo Lulio, 2",28010,"Calle Raimundo Lulio, 2 28010 ",40.4324159,-3.7003489,145
199589,Goiko Grill - Alcorcón,"Av. de la Libertad, 2,",28924,"Av. de la Libertad, 2, 28924 ",40.3460152,-3.8107363,123
122855,Taco Bell - Atocha,Plaza del Emperador Carlos V 11,28012,Plaza del Emperador Carlos V 11 28012 ,40.409005,-3.6925688,131
201300,Taco Bell - Las Mercedes,"Calle Campezo 7, Polígonos Industrial las Mercedes,",28022,"Calle Campezo 7, Polígonos Industrial las Mercedes, 28022 ",40.445573,-3.5817343,132
145169,Rawcoco - Almagro,"Calle de Fernando el Santo, 4",28010,"Calle de Fernando el Santo, 4 28010 ",40.4281795,-3.6947305,139
22890,Pizzaiolo,"C/ Hortaleza, 84",28004,"C/ Hortaleza, 84 28004 ",40.4237535,-3.6984677,159
187178,McDonald's - Arroyomolinos Xanadú,"Junto a Bricor, Calle Puerto de Somosierra, s/n,, Madrid",28939,"Junto a Bricor, Calle Puerto de Somosierra, s/n,, Madrid 28939 ",40.29627,-3.936029,129
79398,Taco Bell - Islazul,"Calle Calderilla, 1",28054,"Calle Calderilla, 1 28054 ",40.3637278,-3.7374791,141
220815,Goiko - Getafe,"Calle Ramon y Cajal, 8,",28902,"Calle Ramon y Cajal, 8, 28902 ",40.3096945,-3.730379,95
44912,Goiko Grill - Pozuelo,"Av. de la Comunidad de Madrid, 3",28224,"Av. de la Comunidad de Madrid, 3 28224 ",40.4387741,-3.7935612,102
239984,McDonald's - Jarama,"Ctra. de Burgos (N-I, Km.29)",28700,"Ctra. de Burgos (N-I, Km.29) 28700 ",40.6346934,-3.5918529,125
184103,Taco Bell - Xanadú,"Calle Puerto de Navacerrada, km 23, 5",28939,"Calle Puerto de Navacerrada, km 23, 5 28939 ",40.2996058,-3.9261572,108
257317,Sushita Café,"Calle Pedro Muñoz Seca, 4",28014,"Calle Pedro Muñoz Seca, 4 28014 ",40.420261,-3.6904742,113
117620,Makkila Serrano 110,Calle Serrano 110,28006,Calle Serrano 110 28006 ,40.4353049,-3.6861546,114
170029,Tasty Poké - Boadilla del Monte,"Av. Siglo XXI, 8, LOCAL 4",28660,"Av. Siglo XXI, 8, LOCAL 4 28660 ",40.4054412,-3.8948169,105
166869,Pizza Hut - Antonio Pérez,"Calle Antonio Pérez, 26",28002,"Calle Antonio Pérez, 26 28002 ",40.4428716,-3.6819145,95
108277,Lopez y Lopez - Editions SOR MTET,Calle Sorgo 17,28029,Calle Sorgo 17 28029 ,40.4663771,-3.7068448,119
224859,KFC LAS ROZAS HERON CITY - Activo,"Calle Camilo Jose Cela, 2,",28232,"Calle Camilo Jose Cela, 2, 28232 ",40.51517,-3.89765,78
26143,Greek and Shop - Malasaña,"Calle Corredera Alta de San Pablo, 9",28004,"Calle Corredera Alta de San Pablo, 9 28004 ",40.4248706,-3.7020726,102
105269,Goiko Grill - Infanta Mercedes,"Calle de la Infanta Mercedes, 105",28020,"Calle de la Infanta Mercedes, 105 28020 ",40.4637587,-3.6935859,94
6979,La Pagoda,"Calle Félix Boix, 7",28036,"Calle Félix Boix, 7 28036 ",40.463488,-3.687409,99
167741,Olemole - Génova,"Calle de Génova, 1",28010,"Calle de Génova, 1 28010 ",40.4275535,-3.6950795,85
38295,Taco Bell - Vaguada,"Av. de Monforte de Lemos, 36",28029,"Av. de Monforte de Lemos, 36 28029 ",40.4798322,-3.707023,101
74083,Mission Saigon - Huerta,"Calle lope de vega 16, Madrid",28014,"Calle lope de vega 16, Madrid 28014 ",40.413677,-3.697799,81
228448,Goiko - Islazul,"Calle Calderilla, 1,",28054,"Calle Calderilla, 1, 28054 ",40.3637278,-3.7374791,90
236148,Kirei by Kabuki,"Calle de San Agustín, 3",28014,"Calle de San Agustín, 3 28014 ",40.4151702,-3.6967946,89
239975,McDonald's - Algete,"Calle del Abedul M-100, Km 0.400,",28709,"Calle del Abedul M-100, Km 0.400, 28709 ",40.5828756,-3.5762607,87
180482,Cristina Oria - Editions SOR,Calle Sorgo 17,28039,Calle Sorgo 17 28039 ,40.4663771,-3.7068448,105
209226,Nugu Burger,"Calle de Covarrubias, 38,",28010,"Calle de Covarrubias, 38, 28010 ",40.4313117,-3.6979651,126
242365,Pastelería Mallorca - Aviador Zorita,"Calle del Aviador Zorita, 39, 28020 Madrid",28020,"Calle del Aviador Zorita, 39, 28020 Madrid 28020 ",40.450748,-3.6985002,94
224955,KFC MADRID C ARENAL - Activo,"Calle del Arenal, 19",28013,"Calle del Arenal, 19 28013 ",40.4175537,-3.708034,84
13793,Panela & Co,"Calle López De Hoyos, 10",28006,"Calle López De Hoyos, 10 28006 ",40.4369143,-3.6872169,95
53980,Taco Bell - Plaza Norte 2,"Plaza del Comercio, 11-12",28703,"Plaza del Comercio, 11-12 28703 ",40.5405918,-3.6132322,83
28297,Pizzeria Vesuvio,"Calle de Hortaleza, 4",28004,"Calle de Hortaleza, 4 28004 ",40.4206383,-3.7007761,85
151358,Spice MAD - Editions ATR,Calle Andrés Torrejón 17,28014,Calle Andrés Torrejón 17 28014 ,40.4078707,-3.6825089,68
185801,Five Guys - Xanadú,"Calle Puerto de Navacerrada, km 23, 5,",28939,"Calle Puerto de Navacerrada, km 23, 5, 28939 ",40.2996058,-3.9261572,92
69163,Wok To Walk - Hortaleza,Calle de Hortaleza 7,28004,Calle de Hortaleza 7 28004 ,40.4206802,-3.7010173,74
