name,priceRange,rating,reviewCount,address,postCode,locality,Full Address,Latitude,Longitude,url
Oven Mozzarella Bar,,5,199,"Calle Gran Via 55 Oven, Steakburger y Roastery",28013,Madrid,"Calle Gran Via 55 Oven, Steakburger y Roastery 28013 Madrid ",40.4197807,-3.6994086,https://www.tripadvisor.com/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Bar-Madrid.html
Grama Lounge,$$ - $$$,5,2198,Calle de la Cruz 19,28012,Madrid,Calle de la Cruz 19 28012 Madrid ,40.4154903,-3.7016911,https://www.tripadvisor.com/Restaurant_Review-g187514-d12216862-Reviews-Grama_Lounge-Madrid.html
Trattoria Pulcinella,$$ - $$$,4.5,1343,Calle Regueros 7,28004,Madrid,Calle Regueros 7 28004 Madrid ,40.4246245,-3.6965822,https://www.tripadvisor.com/Restaurant_Review-g187514-d795373-Reviews-Trattoria_Pulcinella-Madrid.html
SteakBurger 55,$$ - $$$,5,221,Calle Gran Via 55 Galeria Gran Via 55,28013,Madrid,Calle Gran Via 55 Galeria Gran Via 55 28013 Madrid ,40.42155,-3.7086286,https://www.tripadvisor.com/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_55-Madrid.html
Steakburger Arenal,$$ - $$$,5,851,Calle del Arenal 26,28013,Madrid,Calle del Arenal 26 28013 Madrid ,40.4178794,-3.7081798,https://www.tripadvisor.com/Restaurant_Review-g187514-d17351325-Reviews-Steakburger_Arenal-Madrid.html
Entre Santos Madrid,$$ - $$$,5,677,Calle de San Bartolome 4,28004,Madrid,Calle de San Bartolome 4 28004 Madrid ,40.4213293,-3.6987027,https://www.tripadvisor.com/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
El Cocodrilo,$$ - $$$,5,174,Calle de Pilar de Zaragoza 60,28028,Madrid,Calle de Pilar de Zaragoza 60 28028 Madrid ,40.4360571,-3.671724,https://www.tripadvisor.com/Restaurant_Review-g187514-d8714073-Reviews-El_Cocodrilo-Madrid.html
Kathmandu Tandoori House Nepali & Indian Cuisine,$$ - $$$,5,2055,Calle Acuario 11 B . Plaza de hermanos,28042,Madrid,Calle Acuario 11 B . Plaza de hermanos 28042 Madrid ,40.4743251,-3.5786921,https://www.tripadvisor.com/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House_Nepali_Indian_Cuisine-Madrid.html
Restaurante Gabri,$$ - $$$,3.5,9,Calle Castrojeriz 12,28025,Madrid,Calle Castrojeriz 12 28025 Madrid ,40.3870893,-3.7393793,https://www.tripadvisor.com/Restaurant_Review-g187514-d10245495-Reviews-Restaurante_Gabri-Madrid.html
Beytna Restaurante,$$ - $$$,5,166,Calle Moscatelar 18,28043,Madrid,Calle Moscatelar 18 28043 Madrid ,40.4568544,-3.648126,https://www.tripadvisor.com/Restaurant_Review-g187514-d18968021-Reviews-Beytna_Restaurante-Madrid.html
