name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,Weekly orders,value
SteakBurger 55,$$ - $$$,5.0,221,28013.0,40.42155,-3.7086286,11,1105.0
Pastamore,$$ - $$$,5.0,111,28009.0,40.4276831,-3.6699376000000004,10,555.0
Empanadas Malvon Retiro,$$ - $$$,5.0,149,28009.0,40.418764700000004,-3.676403,9,745.0
Indian Aroma,$$ - $$$,4.5,726,28014.0,40.4159588,-3.6991373999999997,23,3267.0
Sushi Yakuza,$$ - $$$,3.5,27,28010.0,40.4330282,-3.7033362000000003,16,94.5
Steakburger Gran Via,$$ - $$$,4.5,2850,28013.0,40.4198527,-3.6993807999999997,#DIV/0!,12825.0
Healthy Hunters,$$ - $$$,5.0,133,28006.0,40.4398106,-3.6825683,18,665.0
Oven Mozzarella Bar Fuencarral,$$ - $$$,4.5,3403,28004.0,40.4252465,-3.7005614000000002,64,15313.5
Empanadas Malvon Moncloa,$$ - $$$,5.0,489,28015.0,40.4361916,-3.7162610000000003,9,2445.0
Nacho Bravo,$,5.0,129,28045.0,40.392084600000004,-3.6947718000000003,2,645.0
Steakburger Atocha,$$ - $$$,4.5,2957,28012.0,40.409597,-3.6936572999999995,29,13306.5
Oven Mozzarella Bar Atocha,$$ - $$$,4.5,1472,28012.0,40.4094376,-3.6933107000000005,62,6624.0
Bocadillos Oink,$,4.5,165,28013.0,40.420168200000006,-3.7002443,10,742.5
Andele Ponzano,$$ - $$$,5.0,123,28003.0,40.446187,-3.700025,2,615.0
GUILTY - Cookie Shop,$,4.0,32,28010.0,40.436011799999996,-3.6945366,156,128.0
Jack Percoca,$$ - $$$,4.5,280,28015.0,40.4264544,-3.7109957000000002,1,1260.0
Steak Burger Luchana,$$ - $$$,4.5,1173,28010.0,40.430349299999996,-3.7006242999999994,24,5278.5
Batavia Healthy Food,$,4.5,100,28004.0,40.428177000000005,-3.6987281000000003,2,450.0
Oliveto,$$ - $$$,4.5,352,28012.0,40.4097901,-3.6964677000000004,3,1584.0
Steak Burger Fuencarral,$$ - $$$,4.5,1852,28010.0,40.4248721,-3.7008404,12,8334.0
Brunch Club Cafe,$,4.5,328,28004.0,40.421581700000004,-3.702815,1,1476.0
