name,priceRange,rating,reviewCount,address,postCode,locality,url
Nebak Jatetxea Madrid,$$$$,5.0,88,Calle Zorrilla 11,28014,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19740783-Reviews-Nebak_Jatetxea_Madrid-Madrid.html
Sushi Yakuza,$$ - $$$,4.5,5,Calle Segovia 8,28005,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19451217-Reviews-Sushi_Yakuza-Madrid.html
Perro Bar,$$ - $$$,4.5,30,Calle Pelayo 19,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14180870-Reviews-Perro_Bar-Madrid.html
Pulperia Taberna Maceira,$$ - $$$,3.5,147,Calle Jesus 7,28014,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d5796061-Reviews-Pulperia_Taberna_Maceira-Madrid.html
La Terraza del Indigo,$$ - $$$,4.0,222,Calle Silva 6 Localizado entre la Gran Vía y la Plaza de Santo Domingo,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10691558-Reviews-La_Terraza_del_Indigo-Madrid.html
Majos Food,$,4.5,27,Calle de Santa Isabel 5 Mercado de Anton Martin Planta superior puesto de 36 a 39,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12430433-Reviews-Majos_Food-Madrid.html
Hero Hot-Pot,$$ - $$$,4.0,34,Calle del Alamo 5-7,28015,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8471643-Reviews-Hero_Hot_Pot-Madrid.html
Restaurante La Bahia,$,4.0,37,Calle General Margallo 20,28020,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6923199-Reviews-Restaurante_La_Bahia-Madrid.html
Txirimiri,$$ - $$$,4.0,88,Calle General Pardinas 92,28006,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10194091-Reviews-Txirimiri-Madrid.html
Oishii  Sushi & Ramen Madrid,$$ - $$$,3.5,327,Calle Miguel Moya 6,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1513357-Reviews-Oishii_Sushi_Ramen_Madrid-Madrid.html
47cocktail-Bar,$$ - $$$,4.0,67,Calle Cava Baja 47 En El Barrio Madrileno de la Latina,28005,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7303776-Reviews-47cocktail_Bar-Madrid.html
La Llama,$,3.5,164,Avenida Reina Victoria 37,28003,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2489448-Reviews-La_Llama-Madrid.html
Lksa,$$ - $$$,4.5,24,Ferraz 53,28008,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d13401757-Reviews-Lksa-Madrid.html
Shanghai mama (Las Tablas),$$ - $$$,4.0,49,Avenida del Camino de Santiago 1,28050,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d13360804-Reviews-Shanghai_mama_Las_Tablas-Madrid.html
Astros,$$ - $$$,4.5,22,Calle Bravo Murillo 34,28015,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d15154711-Reviews-Astros-Madrid.html
La Tia Cebolla,$,3.5,644,Calle Cruz 27 Esquina Calle Espoz y Mina,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1140916-Reviews-La_Tia_Cebolla-Madrid.html
Restaurante San Nicolas,$$ - $$$,4.5,25,Calle Ricardo Ortiz 51,28017,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d5796131-Reviews-Restaurante_San_Nicolas-Madrid.html
El Kiosko- Pinar de Chamartin,$$ - $$$,3.5,23,Calle Yerma 10 Junto al Centro Empresarial Parque Norte y Frente al Vips,28033,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16801710-Reviews-El_Kiosko_Pinar_de_Chamartin-Madrid.html
Bar Camarero,$,4.5,27,Pasaje de la Rueca,,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6516308-Reviews-Bar_Camarero-Madrid.html
La Plaza de Chamberi,$$ - $$$,3.5,143,Plaza Chamberi 10,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d717294-Reviews-La_Plaza_de_Chamberi-Madrid.html
Restaurante Saraiba,$$ - $$$,4.0,182,Calle Antonio Acuna 7,28009,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8772729-Reviews-Restaurante_Saraiba-Madrid.html
Mi Sushi,$$ - $$$,4.0,52,Calle Valderribas 4,28007,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8128992-Reviews-Mi_Sushi-Madrid.html
El Gallo Pelon,$$ - $$$,4.0,64,Calle Espinar 10,28047,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991435-Reviews-El_Gallo_Pelon-Madrid.html
La MaMa Restaurante,$$ - $$$,4.5,177,Calle Maria Panes Nr. 6,28003,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7933973-Reviews-La_MaMa_Restaurante-Madrid.html
Sal y Chili,$,4.5,17,Calle Pensamiento 16,28020,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16939666-Reviews-Sal_y_Chili-Madrid.html
La Cigala Restaurante,$,5.0,31,Calle de Ricardo Ortiz 20,28017,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12221524-Reviews-La_Cigala_Restaurante-Madrid.html
Carpe-Diem,$$ - $$$,3.5,93,Postigo de San Martin n_5 28013,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d3519080-Reviews-Carpe_Diem-Madrid.html
La Escalera Del 15,$$ - $$$,4.0,54,Paseo General Martinez Campos 15,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d9465972-Reviews-La_Escalera_Del_15-Madrid.html
Esplore Juan Bravo,$$ - $$$,4.5,26,Calle de Juan Bravo 41,28006,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d13970183-Reviews-Esplore_Juan_Bravo-Madrid.html
Madreat,$$ - $$$,4.0,54,"Paseo Castellana 89 Azca, Central Comercial Moda Shopping",28046,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d8084933-Reviews-Madreat-Madrid.html
Donde da la vuelta el viento,$,4.0,116,Calle Meson de Paredes 81 Miguel Servet corner,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d4296306-Reviews-Donde_da_la_vuelta_el_viento-Madrid.html
Ramses Madrid,$$$$,3.5,1327,Plaza Independencia 4 Puerta de Alcala,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12858177-Reviews-Ramses_Madrid-Madrid.html
Claroscuro,$$ - $$$,4.0,34,Calle Velazquez 31,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17691676-Reviews-Claroscuro-Madrid.html
Kuatro & Co,$$ - $$$,4.0,39,Calle de Mauricio Legendre 2,28046,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7251710-Reviews-Kuatro_Co-Madrid.html
Taberna Zalamero,$$ - $$$,4.5,72,Calle Narvaez 67,28009,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14792089-Reviews-Taberna_Zalamero-Madrid.html
Los Fogones de Marrakech,$$ - $$$,4.5,20,Calle de Martinez de La Riva 19,28053,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d13221185-Reviews-Los_Fogones_de_Marrakech-Madrid.html
Loredo,$,3.5,86,Cuesta San Vicente 8,28008,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10164453-Reviews-Loredo-Madrid.html
By antonio muro,$$ - $$$,4.0,78,Plaza mayor 1 Humera Pozuelo de Alarcon,28223,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d5963762-Reviews-By_antonio_muro-Madrid.html
La Venganza de Malinche - Duque de Osuna,$$ - $$$,3.5,110,Calle Duque de Osuna 6,28015,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7716158-Reviews-La_Venganza_de_Malinche_Duque_de_Osuna-Madrid.html
Chiquito Riz,$$ - $$$,4.0,289,Calle Coslada 3 Zona de Avenida de America,28028,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d991868-Reviews-Chiquito_Riz-Madrid.html
Restaurante El Inca,$$ - $$$,3.5,232,Calle Gravina 23,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990795-Reviews-Restaurante_El_Inca-Madrid.html
Samara,$,3.5,142,Calle Cardenal Cisneros 15 28010 Madrid,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779194-Reviews-Samara-Madrid.html
