name,Weekly orders
Pizza al Cuadrado,201.0
Faborit Castellana 81,183.0
Txatei,181.0
Tijcal,177.0
Asador la Costa Navarra,158.0
Cerveceria Henninger,152.0
Chantilly,151.0
Chigre,144.0
Sal&Chichen,138.0
Santerra Barra Fina,129.0
No Mames Cantina,128.0
Tartan,127.0
Restaurante  Flamenco 2,123.0
Pinchos y Copas,119.0
Noodle Shop,118.0
Alonso Hermanos,114.0
Bar Cafeteria May,113.0
Mallorca Pasteleria,111.0
Indiano Madrid DF,109.0
Cafeteria Castellana 118,108.0
Viga Mar,107.0
Restaurant Nice,106.0
La Nicoletta Azca,105.0
Marcelino Rosales,104.0
Nigola,104.0
Gambrinus de Triana,104.0
La Galeria Cafe,104.0
Contracorriente,103.0
El Meson de Fuencarral,103.0
Restaurante Crono Torre Cristal,102.0
Madreat,101.0
Canoa Restaurante,101.0
Santagloria,101.0
los Continentes,100.0
Occhiali Restaurante,99.0
Bar Leiner,99.0
El Meson De La Oreja,97.0
Pink Planet,95.0
Corte Ingles,95.0
La Terraza del Indigo,94.0
Sidreria Xareu,94.0
St. Moritz Bar,93.0
Befour Club,93.0
Donde Leo Bar Restaurant,91.0
Acala,90.0
Beaucoup!,90.0
Strawberry Fields. Hamburguesas y Musica.,90.0
"La Tagliatella Jacinto Benavente, Madrid",89.0
Panaderia Pasteleria Cafeteria Miago,88.0
Steakburger Preciados,88.0
BAR Y RESTAURANTE NAZCA,88.0
Entre Caceres y Badajoz,87.0
Almagro cafe & bar,86.0
El Fogon Asturiano,85.0
Miladama,84.0
Snack Bar Rotterdam,83.0
Rever Club,81.0
Luzi Bombon,80.0
Catering Domenico,80.0
La Taberna de Lea,78.0
IL Topollino,78.0
La Locanda,78.0
Harvest Company of Natural Goods,76.0
Sweet and Salt,76.0
Mamua Cafe Bar. Specialty coffee,76.0
La Galeria de Almagro,75.0
Flavia de Chamberi,75.0
Cafeteria Don Gil,75.0
El Albero de Las Ventas,75.0
Masafina,75.0
Straperlo,74.0
El Parnaso,73.0
Bar Camarero,73.0
Kukakuka,72.0
Restaurante China Crown Madrid,72.0
CCS Burger,72.0
Casa Gallega,72.0
Timesburg Luchana,71.0
Tan-go,71.0
Cafe del Art,71.0
Smash,70.0
Gastrotienda Carmela,70.0
Morao Tapas Serrano 85,70.0
Santceloni,70.0
Bar Orsay,70.0
Pecados Argentinos,70.0
Santerra Restaurante,69.0
Yan Ken Pon,69.0
El Jardin del InterContinental,69.0
Manolo,69.0
El Arquibar,69.0
Cafeteria Manciles,69.0
Aire de Serrano,68.0
Muzza & Faina,68.0
Tandoori Madrid,68.0
Sahuaro,68.0
Despacho de Bacalao,68.0
La Tia Manuela,67.0
Central Cafe,67.0
El Rincon de Jaen Ii,67.0
Panaria Acacias,67.0
Taberna del Volapie Torredolones,66.0
Check in,65.0
Punk Bach,65.0
Dolce Vita,65.0
Guang Dong City,65.0
Baden Baden Foodtruck,65.0
La Tasca de Ventura,65.0
El Jardin De La Lola,65.0
Alto Tajo,64.0
Bar Casa Marisa,64.0
Asgaya,64.0
La Manzana,64.0
"Cafeteria Viena Capellanes, interior de Edificio ABC Serrano",64.0
Koldovinia,64.0
Generator,64.0
Casabe Bakery,64.0
Upper Club de Il Salotto,64.0
De Bellota jamoneria,64.0
Cerveceria Re-Ba,64.0
Fismuler,64.0
La Cuna,63.0
Los Guacamoles,63.0
Cerveceria Cervantes,63.0
restaurante rumano La Bunica,63.0
Los Bocadillos,63.0
Bosco de Lobos,63.0
Soxial Resto Bar,63.0
Bar & Restaurante Trigueros,63.0
Pic & Nic Malasana,63.0
Animal&Te,62.0
La Giralda,62.0
Vinoteca Espana En Cepa,62.0
Casa Dario,62.0
Metropoli,62.0
La cafeteria,62.0
The Grill,62.0
37 Tapitas,62.0
El Fogon de Trifon,62.0
40 & Cuatro,62.0
La Madrena Castellana,62.0
La Querencia,61.0
Fu Pu Xian,61.0
El Trinquete,61.0
La Pepa Maluca,61.0
El rincon de Lupe,61.0
Bar La Parada,60.0
Wedding's Restaurantes de Bodas SL.,60.0
Tento,60.0
Restaurante Nunez de Balboa,60.0
La Consentida,60.0
Secretos de Galicia,60.0
Bien Me Sabe,60.0
Carranza,59.0
Come Prima,59.0
Stick & Chic,59.0
Hispano bar Buffet,59.0
Umo,59.0
El Refugio Bar Cerveceria,59.0
Resturante Club Nautico,59.0
La Fontana,59.0
KiraKira,59.0
Bar Cafeteria La Suerte,59.0
"O""Donna Espacio Gastronomico",59.0
Taste Me Restaurante,58.0
De Cine,58.0
La Celestina,58.0
Tropecientos,58.0
el tamiz,58.0
Chicken Guay,58.0
Taberna El Papelon,58.0
Orio Fuencarral,57.0
Krefy,57.0
Kloster,57.0
Atlas,57.0
Hakuna Matata Veggie,57.0
Deli Peppe,57.0
La Botilleria De Maxi,57.0
Cerveceria Koln,57.0
2Remix Cultura Gastronomica,56.0
+Kcopas,56.0
Miyama,56.0
Enlace.It,56.0
La Calle Del Hambre,56.0
Pata Negra,56.0
La Bien Aparecida,56.0
Casa Ciro,56.0
zurbano 31,56.0
Pepe Botella,56.0
Restaurante Dava,56.0
Taberna El Buo Valdemoro,56.0
Agra Palace Indian Restaurant,55.0
Grupo Araceli Villalba,55.0
Esmirna Doner Kebap,55.0
Dilieto,55.0
Cinco Jotas Serrano,55.0
Restaurante Cerveceria Minotauro,55.0
La Cepa,54.0
QUIMBAYA by Edwin Rodriguez,54.0
El Horreo Asturiano,54.0
Los Madronos,54.0
Barzur,54.0
Bar Segon,54.0
Sagardi Castellana,54.0
Kulixka La Casa de las Angulas,54.0
Karma,54.0
Ikura,54.0
Vietnam Mekong Restaurante,53.0
Casa Julian,53.0
La Nueva,53.0
Frutas Prohibidas,53.0
La Taberna Del Cardenal,53.0
Naresolaceto,53.0
"La Gran ""O""",53.0
Taberna De Maria,53.0
SotoVerde,53.0
La Alborada,53.0
Ablanedo,53.0
The One Wine,52.0
Casa Rodrigo,52.0
Go! Sushing Gavia,52.0
Flores de Alcachofa,52.0
Wainari Ferraz,52.0
La Habana Vieja,52.0
El Horno de Santos,52.0
Embassy,52.0
FREIDURIA NUCITA,52.0
Come y Calla,52.0
El Pas,52.0
Inari,52.0
Taberna Del Volapie,51.0
Clerico,51.0
Al Sur,51.0
Rincon de Roque,51.0
The Chapel by Sinsombrero,51.0
Bouquet Casa De Paco,51.0
Cerveceria Casa Valino,51.0
Arte & Paladar,51.0
Cerveceria El Canonazo,51.0
Per Tutti,51.0
Filete Ruso,51.0
Asia Kanan,51.0
Las Nubes,51.0
Delina's,51.0
Igo Waffle Fuencarral,51.0
La Rue Pub,50.0
La Gaditana Castellana,50.0
Il Casone,50.0
Yakiniku Rikyu,50.0
Beefcious Galileo,50.0
Takumi Sakai,50.0
La Gabinoteca,50.0
Alfredo's Barbacoa,50.0
Lagarejo Bar,50.0
O'Faro Finisterre,49.0
Restaurante Acisclo,49.0
Monsieur Sushita,49.0
Taberna El Cuco,49.0
Biriukov Bistro,49.0
Bar cafeteria DIEZ HOYOS,49.0
Valvas,49.0
V Club Feat Arola,49.0
Ay Mi Madre! Conde Duque,49.0
Pel Place,49.0
Che Pibita,49.0
"La Tagliatella C.C. Islazul, Madrid",49.0
De Gustibus,48.0
pizza Burrito,48.0
El Imperio,48.0
Cafeteria Bahia Blanca,48.0
V de Vegas,48.0
Restaurante Flora Fina,48.0
Tse-Yang,48.0
Casa Jinlai,48.0
La Marina Chamberi,48.0
Domino’s Pizza,47.0
Restaurante El Gallego,47.0
Luckia Sport Cafe Madrid,47.0
Taberna de La Daniela Medinaceli,47.0
La Zahurda,47.0
Namaskaar,47.0
Shinatora Ya,47.0
La Churrasquita,47.0
Campos De Retana,47.0
Tribeca Restaurant,47.0
Fridays,47.0
Los Chicos,47.0
La Taberna Chiquita,47.0
Arzabal  Museo Reina Sofia,46.0
Restaurante Chincha Internacional,46.0
Astrolabius,46.0
Inuit Kafei,46.0
Hotel Restaurant at Villa Magna,46.0
Veracruz,46.0
Kubo King,46.0
Phuket Thai Restaurant,46.0
La Abaceria,46.0
Hard Rock Cafe,46.0
Vida Bella,46.0
Magarinos Cafe,46.0
Chifa,46.0
Bombay Palace,45.0
Miguel Angel Restaurante,45.0
El Muro,45.0
La Picota III,45.0
Ramses LaTerraza,45.0
Delivinos Urban Gourmet,45.0
Alhama,45.0
Tommy Mel's,45.0
Ceviche Vuelve A La Vida,45.0
Aviseo,45.0
Charing Cross,44.0
Sinsombrero,44.0
Chino Star Restaurante,44.0
Restaurante Isabel,44.0
La Torre de Cuatro Vientos,44.0
La Luna,44.0
Casa Carmen Arturo Soria,44.0
Cafeteria Revertito,44.0
Greener Cafe,44.0
Abonavida,44.0
De Tapeo,44.0
Navare Bar,44.0
Restaurante Etxegarate,44.0
TATEL Madrid,44.0
Bar Luna,43.0
Brasa Brasil,43.0
La Percha,43.0
El Jabugo,43.0
DokiDoki,43.0
Maki Mendez Alvaro,43.0
Meson El Figon,43.0
Pupuseria Madrid,43.0
El Sainete,43.0
L'Officina Gastronomica,42.0
Restaurante mar abierto,42.0
Cafe Gran Via,42.0
Baby Grill,42.0
Da' Gusto Restaurant,42.0
Parrilla el Barril,42.0
Restaurante xiaoman,42.0
Oviedo Bar Restaurante,42.0
Los Cofres del Pirata,42.0
Restaurante Poli,42.0
Casa Mundi,42.0
La ruta del sabio,42.0
Villoldo,42.0
La Qchara de Pachi,42.0
Restaurante Narcea,42.0
El Picaporte Bistro,42.0
Tradicionarius,41.0
Botillo,41.0
Cafe Colon Madrid,41.0
Mawey Taco Bar - Gran Via,41.0
Pizzeria P6,41.0
Japanese Club,41.0
Tapassentao,41.0
Blue Lounge by Melia,41.0
Caprichyo,41.0
Cafeteria Le Petit Madrid,41.0
Baco y Beto,41.0
Burger Kas Villaverde,41.0
Bar Restaurante Sunset Valdebernardo,41.0
Krug,41.0
Pinchos Vascos Onegin,41.0
Puerta 57,41.0
La Excentrica,40.0
The Patissier by Ricardo Velez,40.0
Vilaplana,40.0
Restaurante Tokyo,40.0
Faborit Arapiles,40.0
Picos Pardos Sky Lounge,40.0
Chihuahua Tacos y Tragos,40.0
Monay Restaurante,40.0
Bar Morales El Atomico,40.0
Jordan Cafe-Bar,40.0
Cafe Comercial,40.0
Cafeteria d'Elba,40.0
La Marimorena,40.0
Bodega Restaurante La Alegria,40.0
El Caneo,40.0
Restaurante El Guero,40.0
Ginger,40.0
La Espumosa,39.0
Cafeteria Rande,39.0
Ch&Ch,39.0
Restaurante Cruz,39.0
Al-Batra,39.0
Don Antonio Restaurante,39.0
La Gastro de Chema,39.0
La Tapa Ecologica,39.0
StreetXo,39.0
Grama Arts Club,39.0
Aarde,39.0
Tele Pizza,39.0
Donde Chelo,39.0
Pizzeria Carabancheli,39.0
Indalo Tapas,39.0
Maluvia,38.0
Shisha Restaurant,38.0
Carlos Restaurante,38.0
Bar La Ardilla,38.0
La Empanaderia,38.0
El Mantel,38.0
Antipode,38.0
A tu Salud,38.0
Costa Verde,38.0
Divina Gula,38.0
Bla Bla Bla,38.0
La leyenda de oroquieta,38.0
Kuoco 360 food,38.0
Casa Mono,38.0
Las Tortillas de Gabino,38.0
Raices del Mundo,38.0
BONASERA,38.0
Avelino Rivera Pascual,38.0
Selfie Restaurante Madrid,38.0
Vega,38.0
Retoque,38.0
Restaurante Rincon De Aguacate,38.0
Quinua Bar Restaurante Peruano,38.0
Il Pastaio,38.0
Rincon De Ati,38.0
Restaurante Bolivar,38.0
Viuda de Vacas,38.0
La Malinche,38.0
Kubo King La Latina,38.0
La Felicidad,38.0
Tropicalissima,38.0
Cerveceria Pittu,38.0
Todo Avocado,38.0
KNIGHT'N'SQUIRE,37.0
el secreto del lobo,37.0
Restaurante El Porton,37.0
Restaurante Miss Aris,37.0
Restaurante Canadio,37.0
Restaurante De Prado,37.0
Suite & Tea,37.0
Bulevar,37.0
De Pata Negra,37.0
Abaceria Tapas Lambuzo Conchas,37.0
La Cacharreria,37.0
Atalaya Cafe Restaurante,37.0
Estado Puro,37.0
Maruzzella,37.0
Restaurant UME,37.0
D.O.C.C. Prado,37.0
Brasa Y Lena,37.0
Taberna La Jerezana,37.0
Al Nassim,37.0
La Tipica Bodega El Garnacho,37.0
Meson Lucio,37.0
Julfer,37.0
Arroceria Daniela,37.0
Bar Rato,37.0
Las tres terrazas,37.0
El Perejil Restaurante,37.0
Warehouse,37.0
Wilda,36.0
El Miajon de Los Castuos (Paseo de la Habana 19),36.0
Marcela,36.0
Sax,36.0
Hake Mate,36.0
Restaurante Malecon,36.0
Mandioca,36.0
Living Eat,36.0
Steakburger Arenal,36.0
Vi Cool,36.0
El Parnasillo,36.0
Asador Sidreria Gaztelu,36.0
The Knife Arturo Soria,36.0
Restaurante Morgana,36.0
Eco Bar & Spa,36.0
Soy Kitchen,36.0
Lobito de Mar Madrid,36.0
Cristina Oria Conde de Aranda,36.0
Cafe de la Riviere - Cuesta de San Vicente,36.0
Restaurante Alcobilla,36.0
La Pasa Gin Bar,36.0
La Fabrica Biermuseum,36.0
La Maquina Jorge Juan,36.0
Cinco Jotas Jorge Juan,35.0
Hamburguesa Nostra - Boj,35.0
Rita,35.0
Ole Cabaret,35.0
Restaurante Atocha 107,35.0
Wanda Cafe Optimista,35.0
Tejeteria KnitCafe,35.0
Cerveceria Asador El Trillo,35.0
Vaiven,35.0
Sidreria La Cuenca,35.0
Dolores y Lola,35.0
Lisanti II,35.0
Donde Monica,35.0
Chess Cafe,35.0
Feltman's Hot Dogs,35.0
Sichuan,35.0
Bbig Delice,35.0
Rumbo Norte,35.0
Vila Brasil,35.0
El Escudo de Avila,35.0
Mya Valdalos - Mercado San Miguel,35.0
El Parnasillo Del Principe,35.0
La Castanuela,35.0
Barocco,35.0
Los Quesos de L'Amelie,35.0
ASADOR SAN ISIDRO,35.0
Restaurante Jagger,35.0
Perfil34,35.0
GingerBoy,35.0
Bar Paulo,35.0
Casa Hortensia,35.0
Bicho Bar,35.0
Restaurante More,35.0
El Jalapeno,35.0
La Delicia,35.0
La Encina de Zurbano,35.0
A’Barra,35.0
Beefcious Ensanche De Vallecas,35.0
Restaurante La Vanduca,35.0
El Chiscon,34.0
Restaurante Muxia,34.0
La Casa De Las Brasas,34.0
Juicy Avenue Arturo Soria,34.0
Sotto Cocktail Bar,34.0
Taberna La Espanola,34.0
Los Sauces,34.0
El Cruce,34.0
Abrasame Malasana,34.0
Dry Martini by Javier de Las Muelas,34.0
Hevia,34.0
Meson Las Regiones,34.0
BiBo Madrid,34.0
Salon Cascabel,34.0
Cervecera-Restaurante,34.0
Cantina Del Matadero de Madrid,34.0
Foodtruck,34.0
Casa Benigna,34.0
Realcafe Bernabeu,34.0
Platea Madrid,34.0
Portosin,34.0
La Rebotica de Ponzano,34.0
Taberna Cerveceria Picasso,34.0
GORKI,34.0
Kyoka Lopez de Hoyos,34.0
Tates San Sebastian de Los Reyes,34.0
Taberna Bodegas Ricla,34.0
La Moto De Papa,33.0
Emyfa Arturo Soria,33.0
Palacio Nankin,33.0
La Mancheguita,33.0
